id,feature_selection,n_features,model,RMSE_mean,RMSE_std,MAPE_mean,MAPE_std,SMAPE_mean,SMAPE_std,R2_train_mean,Corr_R2_val_mean,cv_strategy,rank_RMSE,rank_MAPE,rank_SMAPE,avg_rank
MI_20_Bagging_HistGB,MI,20,Bagging_HistGB,92.16950250100109,19.61085360301755,84.34300875688524,31.166666528492588,58.59352303772852,7.997238976278636,0.8683051581619878,0.6096298412657405,5-Fold,58.0,57.0,61.0,58.666666666666664
RF_20_Stack_RF+HistGB+ET,RF,20,Stack_RF+HistGB+ET,93.25432771260989,15.705939003439903,87.62387685999565,31.81200415141046,56.534428874529645,7.806404203182434,0.9353381511472936,0.5573492384915182,5-Fold,62.0,64.0,54.0,60.0
MI_20_RandomForest_tuned,MI,20,RandomForest_tuned,89.00509400217523,17.07652216977264,103.51902017028863,49.45739472853256,58.96367829518622,9.196642623840065,0.9050982056563956,0.5800323846509163,5-Fold,49.0,73.0,62.0,61.333333333333336
L1_Lasso_10_HistGB_SquaredError,L1_Lasso,10,HistGB_SquaredError,90.63933883324354,25.004164325169402,85.84539125081136,23.804694403960475,69.50981650708756,10.420918876531337,0.9887567251665732,0.5860223940756486,5-Fold,53.0,61.0,77.0,63.666666666666664
MI_20_RandomForest_default,MI,20,RandomForest_default,91.47722160324835,17.50446521932805,109.55252966410217,54.173416122207776,60.81216592826731,8.674073232535612,0.9292618348627301,0.559962551560966,5-Fold,55.0,75.0,65.0,65.0
MI_20_Stack_RF+HistGB+ET,MI,20,Stack_RF+HistGB+ET,94.21795390265996,17.665429267893956,102.57435688836054,43.6498653318024,60.36123259515561,9.139510119561384,0.9221921880655432,0.5900787480225926,5-Fold,63.0,72.0,64.0,66.33333333333333
MI_20_ExtraTrees,MI,20,ExtraTrees,94.66331426720468,16.057077289880805,105.82299238445967,56.31064729974236,60.27981405298588,9.810818207029905,0.9960556407310934,0.5422822186292462,5-Fold,64.0,74.0,63.0,67.0
RF_20_HistGB_SquaredError,RF,20,HistGB_SquaredError,95.44833886826765,12.945519648095386,86.7962486415125,25.98571516404846,64.3991770463368,8.13221034607996,0.9911711871025938,0.5326425092574564,5-Fold,65.0,63.0,73.0,67.0
MI_20_HistGB_Poisson_tuned_v2,MI,20,HistGB_Poisson_tuned_v2,96.409775855534,10.73097540366207,93.50702985372374,29.8264478442203,62.67511635102996,7.5616136954427615,0.9530719539207293,0.5957509738814878,5-Fold,66.0,69.0,67.0,67.33333333333333
MI_20_HistGB_Poisson_default,MI,20,HistGB_Poisson_default,96.409775855534,10.73097540366207,93.50702985372374,29.8264478442203,62.67511635102996,7.5616136954427615,0.9530719539207293,0.5957509738814878,5-Fold,66.0,69.0,67.0,67.33333333333333
MI_20_HistGB_SquaredError,MI,20,HistGB_SquaredError,117.27842704163587,24.0179844976266,101.6179587891093,49.34314153705997,63.052282525842564,10.565335907739914,0.9853483602993967,0.4407853286767292,5-Fold,71.0,71.0,69.0,70.33333333333333
RF_20_PoissonRegressor,RF,20,PoissonRegressor,284.0832130632358,196.75373832361797,124.1662982802203,26.997170094702998,61.72110459908447,6.000900956247281,0.7856051804952686,0.3143548740589732,5-Fold,77.0,76.0,66.0,73.0
MI_20_PoissonRegressor,MI,20,PoissonRegressor,167.39071815685776,100.71331804996748,145.15359757364132,103.82719696378717,64.403974126722,7.823464281845517,0.7376198970777631,0.37223429589718743,5-Fold,74.0,77.0,74.0,75.0
