split,feature_selection_method,feature_name
Split05,MutualInformation,num__job_dens_qm
Split05,MutualInformation,num__isect_dens_em
Split05,MutualInformation,num__job_dens
Split05,MutualInformation,num__swlk_len
Split05,MutualInformation,num__stv_mi_qm
Split05,MutualInformation,num__stv_mi_em
Split05,MutualInformation,num__bus_stops_hm
Split05,MutualInformation,num__swlk_len_hm
Split05,MutualInformation,num__isect_dens_qm
Split05,MutualInformation,num__isect_dens_hm
Split05,MutualInformation,num__zch_qm
Split05,L1_Lasso,num__Number of
Split05,L1_Lasso,num__stv_mi
Split05,L1_Lasso,num__sig_int_em
Split05,L1_Lasso,num__sig_int_qm
Split05,L1_Lasso,num__stv_mi_hm
Split05,L1_Lasso,num__job_dens_hm
Split05,L1_Lasso,num__Park Area_hm
Split05,L1_Lasso,num__transit_stops_hm
Split05,L1_Lasso,cat__class_type_sec-sec
Split05,L1_Lasso,cat__speed_type_20 mph-30 mph
Split05,RandomForest,num__isect_dens_hm
Split05,RandomForest,num__job_dens_em
Split05,RandomForest,num__stv_mi_hm
Split05,RandomForest,num__job_dens_hm
Split05,RandomForest,num__walk_comm_hm
Split05,RandomForest,num__swlk_len
Split05,RandomForest,num__sig_int_hm
Split05,RandomForest,num__sig_dens_em
Split05,RandomForest,num__zch_hm
Split05,RandomForest,num__sig_int_qm
Split05,RandomForest,num__job_dens_qm
Split05,RandomForest,num__sig_dens_qm
Split05,RandomForest,num__sig_dens_hm
Split05,RandomForest,num__Park Area_hm
Split05,RandomForest,num__stv_ann
Split05,RandomForest,num__stv_mi
Split05,RandomForest,num__sig_int_em
Split05,RandomForest,num__stv_mi_qm
Split05,RandomForest,num__dist_CBD
Split05,RandomForest,num__job_dens
Split06,MutualInformation,num__stv_mi
Split06,MutualInformation,num__stv_ann
Split06,MutualInformation,num__isect_dens_em
Split06,MutualInformation,num__isect_dens_qm
Split06,MutualInformation,num__swlk_len
Split06,MutualInformation,num__job_dens_hm
Split06,MutualInformation,num__transit_stops_hm
Split06,MutualInformation,num__sig_dens_qm
Split06,MutualInformation,num__swlk_len_hm
Split06,MutualInformation,num__stv_mi_hm
Split06,MutualInformation,num__sig_int_hm
Split06,MutualInformation,num__sig_dens_hm
Split06,MutualInformation,num__dist_CBD
Split06,MutualInformation,num__sig_int_qm
