split,feature_selection,n_features,pseudo_R2_train,SMAPE_val,RMSE_val
Split18,L1_Lasso,12,0.8821811653071489,58.89519779916552,148.21041172374655
Split18,RandomForest,20,0.8815204999766312,63.02173438469909,121.29477232337875
Split19,All_features,91,0.9658010194617129,48.66058769718268,44.714951773185255
Split19,MutualInformation,20,0.8755259184708037,60.88954787608728,91.20268985197463
Split19,L1_Lasso,9,0.7896396232955945,52.8841283370385,102.55201245872676
Split19,RandomForest,20,0.9119407011705107,55.854765468678046,82.715136017426
Split20,All_features,92,0.9663472003984261,42.27165503256084,60.56845036258943
Split20,MutualInformation,20,0.9058734592677966,53.697122923574646,66.93923614469362
Split20,L1_Lasso,18,0.8980703975706867,40.617935469895166,78.05088202096779
Split20,RandomForest,20,0.8736990353480971,39.79008222632957,86.60129665363661
Split21,All_features,91,0.963978501033116,42.33309153990943,98.12446689305574
Split21,MutualInformation,20,0.8817257962511426,49.995431306176656,68.75163979365276
Split21,L1_Lasso,10,0.79177210670398,42.85720178582476,74.4016995075165
Split21,RandomForest,20,0.9083616219308979,33.04796250403645,77.70911325951273
Split22,All_features,92,0.9653109117659241,49.465591106025,44.350605023274014
Split22,MutualInformation,20,0.878222727139861,50.57230293610853,50.86242574202153
Split22,L1_Lasso,21,0.9188199829704377,59.485848530195554,62.04413499896275
Split22,RandomForest,20,0.9122962774148602,54.4668321964153,61.9240471328722
Split23,All_features,91,0.9703180487420106,69.97492226666583,107.58998941258135
Split23,MutualInformation,20,0.8528182788433174,71.90716510958954,119.47580877552755
Split23,L1_Lasso,19,0.9312368866890106,66.43081049673789,108.52957623704296
Split23,RandomForest,20,0.8797577789916751,73.56357073905484,131.7731797385571
Split24,All_features,91,0.9720832642169258,47.00431833928788,79.87861695416683
Split24,MutualInformation,20,0.9135873626040691,50.77689717533358,82.36130923033907
Split24,L1_Lasso,24,0.9465363651877582,57.018386842465866,134.84105284323732
Split24,RandomForest,20,0.9225713098595341,56.93117650733173,121.33102032303354
Split25,All_features,92,0.9676183748690328,51.62986481963243,112.65323679264768
Split25,MutualInformation,20,0.8979602394668122,56.77146737626012,112.0500680139733
Split25,L1_Lasso,7,0.8324363786843094,52.73160455303273,114.38404021220472
Split25,RandomForest,20,0.8958662585281056,54.582876420772685,114.11363673382672
