fold,feature_selection_method,feature_name
5,All_features,num__walk_comm_qm
5,All_features,num__job_dens_qm
5,All_features,num__Commercial Area_qm
5,All_features,num__Retail Area_qm
5,All_features,num__Park Area_qm
5,All_features,num__transit_stops_qm
5,All_features,num__stv_mi_hm
5,All_features,num__swlk_len_hm
5,All_features,num__bus_stops_hm
5,All_features,num__sig_int_hm
5,All_features,num__sig_dens_hm
5,All_features,num__isect_dens_hm
5,All_features,num__hh_hm
5,All_features,num__zch_hm
5,All_features,num__med_inc_hm
5,All_features,num__pop_dens_hm
5,All_features,num__walk_comm_hm
5,All_features,num__job_dens_hm
5,All_features,num__Commercial Area_hm
5,All_features,num__Retail Area_hm
5,All_features,num__Park Area_hm
5,All_features,num__transit_stops_hm
5,All_features,cat__season_spring
5,All_features,cat__season_summer
5,All_features,cat__season_winter
5,All_features,cat__class_type_mot-sec
5,All_features,cat__class_type_pri-pri
5,All_features,cat__class_type_pri-res
5,All_features,cat__class_type_pri-sec
5,All_features,cat__class_type_pri-ter
5,All_features,cat__class_type_res-res
5,All_features,cat__class_type_res-sec
5,All_features,cat__class_type_res-ter
5,All_features,cat__class_type_sec-sec
5,All_features,cat__class_type_sec-ter
5,All_features,cat__class_type_tru-tru
5,All_features,cat__speed_type_20 mph-25 mph
5,All_features,cat__speed_type_20 mph-30 mph
5,All_features,cat__speed_type_25 mph-30 mph
5,All_features,cat__speed_type_25 mph-55 mph
5,All_features,cat__speed_type_30 mph-30 mph
5,All_features,cat__speed_type_30 mph-35 mph
5,All_features,cat__speed_type_35 mph-35 mph
5,All_features,cat__crossing_class_signalized
5,All_features,cat__crossing_class_unmarked
5,MutualInformation,num__job_dens_hm
5,MutualInformation,num__sig_dens_hm
5,MutualInformation,num__sig_int_hm
5,MutualInformation,num__dist_CBD
5,MutualInformation,num__sig_dens_qm
5,MutualInformation,num__walk_comm_hm
5,MutualInformation,num__job_dens_em
5,MutualInformation,num__sig_int_qm
5,MutualInformation,num__stv_mi_hm
5,MutualInformation,num__job_dens_qm
5,MutualInformation,num__isect_dens_em
5,MutualInformation,num__job_dens
5,MutualInformation,num__swlk_len
5,MutualInformation,num__stv_mi_qm
5,MutualInformation,num__stv_mi_em
5,MutualInformation,num__bus_stops_hm
5,MutualInformation,num__swlk_len_hm
5,MutualInformation,num__isect_dens_qm
