model,R2_train_mean,R2_train_std,Corr_R2_val_mean,Corr_R2_val_std,MAPE_val_mean,MAPE_val_std,SMAPE_val_mean,SMAPE_val_std,RMSE_val_mean,RMSE_val_std,feature_selection,n_features,cv_strategy
RandomForest,0.9253883315874857,0.004628794328609851,0.6988919882351448,0.22377142200839292,107.49561185259623,66.85243706291699,59.84866474735526,12.987083483726693,83.89690499877577,35.710906811956676,F_Regression,20,10-Fold
HistGB_Poisson,0.9180077511665982,0.0064386701232207084,0.6408261402751231,0.30160460611935486,88.88769524662048,47.42013518714788,63.54078736806355,10.307037541274019,94.15081400987197,23.166011081649174,F_Regression,20,10-Fold
RandomForest,0.944366463744738,0.005987658696257075,0.6920024085721377,0.2244464749280138,88.40167859736496,46.92708330070048,53.34034222176365,13.139176960734558,81.00699328607017,33.5151346807553,L1_Lasso,25,10-Fold
HistGB_Poisson,0.9846404248506886,0.002799961981079472,0.6306622286963616,0.233535403953796,62.61752662221185,18.432150576131736,52.313018252336576,11.740554673307022,85.05432108960647,31.767563158057193,L1_Lasso,25,10-Fold
RandomForest,0.9348579106250015,0.006236431245853977,0.6368814665392084,0.2548686602714841,114.27345012096623,94.97461122760289,58.910040136840124,15.607464088873328,86.42296686940759,36.48586768416991,Mutual_Information,25,10-Fold
HistGB_Poisson,0.9698151985971905,0.0050189302675608585,0.7059623778428386,0.2595735687460547,72.829825770203,34.698951984429556,57.1347842519959,12.373776579903241,92.3006839558303,34.28284207047385,Mutual_Information,25,10-Fold
RandomForest,0.9398682819346618,0.005404310354304804,0.6651005905092652,0.3056819330039182,89.10749961890586,47.57064462862999,56.382610623053594,11.715917142505058,81.82304482323136,33.08480779485722,Random_Forest,25,10-Fold
HistGB_Poisson,0.9793539720575237,0.0031287760693143687,0.6621751478155,0.22540830184859964,69.11795889317935,36.61854852996761,53.724772221813986,10.374918492848682,86.3580296673695,44.86795567692992,Random_Forest,25,10-Fold
RandomForest,0.9289537214841033,0.004557605156355626,0.6701563864651993,0.23471853558387482,109.53061613340735,65.8812871251065,60.04327607124494,12.770502245867911,84.17081564663359,34.92812113538313,F_Regression,25,10-Fold
HistGB_Poisson,0.9383137023724938,0.005281409566693849,0.6288238343884699,0.26239479445603525,89.91028083691512,53.633821289148294,63.42297161265401,11.73570889295264,97.84633237094845,32.34069365151007,F_Regression,25,10-Fold
RandomForest,0.9447177760178194,0.00545768697892076,0.6976585451027517,0.22614778193815943,88.55035150395376,45.39369541206846,53.7430670976942,12.995530263352817,79.8143919754641,30.973361187083913,L1_Lasso,30,10-Fold
HistGB_Poisson,0.9846404248506886,0.002799961981079472,0.6306622286963616,0.233535403953796,62.61752662221185,18.432150576131736,52.313018252336576,11.740554673307022,85.05432108960647,31.767563158057193,L1_Lasso,30,10-Fold
RandomForest,0.9325145913479442,0.005789577472766578,0.64376774718052,0.23496490260285222,113.2307962371796,84.60306060093997,58.31799684797426,14.33230300606158,84.70275859584123,34.70163210150306,Mutual_Information,30,10-Fold
HistGB_Poisson,0.9737420952888222,0.004426586252562055,0.6977235292855171,0.2373762629852071,71.91141815664548,29.948453068134427,55.43723990335697,11.318533392752888,92.4794703511341,32.56965191239885,Mutual_Information,30,10-Fold
RandomForest,0.9445074271382993,0.0054291165030706705,0.6783994113045061,0.2829666547884397,86.81043326886734,50.828712632537155,54.65641249934801,12.564434312122666,80.66608715491189,33.79600731078008,Random_Forest,30,10-Fold
HistGB_Poisson,0.9868397338544502,0.002669576897844463,0.7111731795412591,0.17842224348855298,65.94917969612277,27.596514016977768,52.42956954550944,11.35625856051928,77.53661565075373,34.40702422564124,Random_Forest,30,10-Fold
RandomForest,0.9298299325751651,0.005543084577626324,0.6858656306028441,0.2385351873888037,111.95784235317713,83.8299779549242,59.28232592267665,15.41552510506589,83.51450369754173,36.04700649544404,F_Regression,30,10-Fold
HistGB_Poisson,0.9486607844682717,0.003982466719276424,0.6429441368694329,0.21186561572855916,81.78853706616476,42.41826199340414,60.68775746286093,9.998629070904645,99.80072301440684,27.326424430213542,F_Regression,30,10-Fold
