model,R2_train_mean,R2_train_std,Corr_R2_val_mean,Corr_R2_val_std,MAPE_val_mean,MAPE_val_std,SMAPE_val_mean,SMAPE_val_std,RMSE_val_mean,RMSE_val_std,best_params,feature_selection,n_features,cv_strategy
RandomForest,0.9154610941934882,0.01345281567333296,0.6308196259494695,0.24852342997839805,90.0765366808059,37.62742384528496,54.3544143381924,13.61395103709635,82.73816661113419,17.83970110511185,"{'n_estimators': 500, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_features': 0.5, 'max_depth': None}",L1_Lasso,15,5-Fold
HistGB_Poisson,0.954481386875375,0.0072440956524058445,0.6721213468194303,0.23619669483134925,58.41158611692492,19.366827397879828,47.845675054695334,10.16487640084843,74.45927414266701,23.45997110806918,"{'min_samples_leaf': 10, 'max_iter': 500, 'max_depth': 5, 'learning_rate': 0.01, 'l2_regularization': 1.0}",L1_Lasso,15,5-Fold
HistGB_SquaredError,0.9576379565450786,0.023133942619825487,0.6323818968588976,0.2515854908949714,72.65542944450124,22.42290772017864,61.21330999110804,16.37321958464857,83.19157837529629,18.140756958497022,"{'min_samples_leaf': 10, 'max_iter': 300, 'max_depth': 10, 'learning_rate': 0.05, 'l2_regularization': 10.0}",L1_Lasso,15,5-Fold
ExtraTrees,0.9368006440570535,0.008676991194814635,0.6462740098106862,0.2344930399186144,79.61362178035321,35.30345377086673,51.28255371971443,12.721126630874629,81.50700968745862,17.36484183797914,"{'n_estimators': 500, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_depth': 15}",L1_Lasso,15,5-Fold
GradientBoosting_Huber,0.9724707451363714,0.007280167706462882,0.6596229243262889,0.24637619045933568,70.9024609164752,21.389211083391032,56.360053682224944,13.981645048927316,78.37522267528902,11.941757288481707,"{'subsample': 1.0, 'n_estimators': 200, 'min_samples_split': 5, 'min_samples_leaf': 5, 'max_depth': 3, 'learning_rate': 0.1, 'alpha': 0.8}",L1_Lasso,15,5-Fold
PoissonRegressor,0.8064111966368317,0.01497508037547285,0.6331308994099724,0.1664888491043896,61.12085999686385,19.990836766447018,46.357559702875974,8.984346396006647,84.58570482843524,17.826736667982793,{'alpha': 10.0},L1_Lasso,15,5-Fold
Bagging_HistGB,0.8902142958967563,0.019121617666064756,0.6055798093510798,0.2698954035021727,66.08177891638209,16.052078016813535,49.784747031544214,7.834292016054679,86.4484352665032,19.95773555338411,"{'max_features': 1.0, 'max_samples': 0.8, 'n_estimators': 15}",L1_Lasso,15,5-Fold
RandomForest,0.947089348635175,0.004301552490346507,0.7317315022559903,0.2532042023099598,89.96762203769322,42.77064986224778,54.12132104928757,15.085592057716115,78.3695728167217,33.56454954838295,"{'n_estimators': 300, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_depth': 20}",L1_Lasso,15,10-Fold
HistGB_Poisson,0.9798595035146025,0.002721279894635948,0.7149566311693782,0.2548782384905378,55.89397690910977,18.218067971597225,49.25310816229029,12.980069090578667,78.91951459116275,35.48645762687894,"{'min_samples_leaf': 10, 'max_iter': 800, 'max_depth': 7, 'learning_rate': 0.01, 'l2_regularization': 1.0}",L1_Lasso,15,10-Fold
HistGB_SquaredError,0.9997663452142629,0.0001096369299600433,0.6951950812642252,0.2907674616352327,76.31668786786616,43.633700199886455,59.95768129699303,17.46623579140772,77.33511862907193,32.69993856714265,"{'min_samples_leaf': 10, 'max_iter': 800, 'max_depth': 7, 'learning_rate': 0.1, 'l2_regularization': 1.0}",L1_Lasso,15,10-Fold
ExtraTrees,0.9404544074319604,0.005312271406610846,0.744076001533472,0.23917329348151126,78.44725177183713,38.21317386822067,50.91299867388627,13.812168510522698,74.8094222500365,34.56443394708079,"{'n_estimators': 500, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_depth': None}",L1_Lasso,15,10-Fold
GradientBoosting_Huber,0.9952776451864986,0.002214216679163529,0.728389070098568,0.2616992752653256,66.60172110157133,37.448390533093566,48.91539062476921,13.95091427838798,75.58215792751047,26.00098975287794,"{'subsample': 1.0, 'n_estimators': 500, 'min_samples_split': 10, 'min_samples_leaf': 3, 'max_depth': 7, 'learning_rate': 0.1, 'alpha': 0.8}",L1_Lasso,15,10-Fold
PoissonRegressor,0.8021049979174888,0.013785500186657836,0.7199493303864879,0.22814422780137636,65.021044100019,31.23263849820858,48.05316209695651,9.88236834338942,76.2719366515532,44.410620485900495,{'alpha': 10.0},L1_Lasso,15,10-Fold
Bagging_HistGB,0.88710309210946,0.01559606813848978,0.6555235564354971,0.2605359463034665,65.9172244502279,19.077655816252356,49.48989460288726,9.556376229529604,82.70576281654044,32.66896519913691,"{'max_features': 0.8, 'max_samples': 1.0, 'n_estimators': 5}",L1_Lasso,15,10-Fold
RandomForest,0.9473977079049672,0.004126894597842092,0.6999055443231994,0.23410843170355042,90.52899142306401,38.06202443216485,54.759387782666956,14.483291794292288,77.86302129785453,35.61696667888019,"{'n_estimators': 300, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_depth': 20}",L1_Lasso,15,RepeatedKFold_5x10
HistGB_Poisson,0.9604212046389263,0.004852599606078782,0.6896742049920251,0.2505515933328451,58.80497782306855,19.922478219353845,49.42562328735709,13.28365667938685,77.40938284014729,38.14949787016608,"{'min_samples_leaf': 10, 'max_iter': 500, 'max_depth': 5, 'learning_rate': 0.01, 'l2_regularization': 1.0}",L1_Lasso,15,RepeatedKFold_5x10
HistGB_SquaredError,0.96777479183233,0.014292687676907782,0.6892926918092057,0.25288964100682654,69.05216591988375,26.114763817590674,56.83891148234871,15.72869600500265,76.94262434307235,35.59454678957466,"{'min_samples_leaf': 10, 'max_iter': 300, 'max_depth': 10, 'learning_rate': 0.05, 'l2_regularization': 10.0}",L1_Lasso,15,RepeatedKFold_5x10
ExtraTrees,0.940187333355332,0.005617972732760302,0.7231207390458431,0.2167996246079007,78.78571864375549,34.415076007331095,51.201267376208314,13.45552042363744,75.3040753811842,35.8382175341024,"{'n_estimators': 500, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_depth': None}",L1_Lasso,15,RepeatedKFold_5x10
GradientBoosting_Huber,0.9256172951322428,0.02050633796732511,0.6817923637223235,0.24472801869681135,67.39283747052849,24.27481086663976,56.57473722618978,15.936027203218993,78.24793895244974,35.61839257673604,"{'subsample': 0.8, 'n_estimators': 200, 'min_samples_split': 5, 'min_samples_leaf': 10, 'max_depth': 3, 'learning_rate': 0.05, 'alpha': 0.9}",L1_Lasso,15,RepeatedKFold_5x10
PoissonRegressor,0.8022527246051454,0.016397442451532733,0.7131608300813569,0.21766768171517265,64.92111340400078,26.171445371858365,48.90567698027747,12.893760634851414,77.98713767343294,44.73391032083038,{'alpha': 10.0},L1_Lasso,15,RepeatedKFold_5x10
Bagging_HistGB,0.9050337295397807,0.009026621732302717,0.6295305364757467,0.25095501380438673,67.88002250075435,31.15336891237564,50.425614273375544,13.220086667739906,84.38563348339035,38.522412516717736,"{'max_features': 0.8, 'max_samples': 1.0, 'n_estimators': 15}",L1_Lasso,15,RepeatedKFold_5x10
RandomForest,0.91943649406969,0.0073930301304035015,0.706077598923937,0.22218494149218135,89.52577259352488,39.84479145340497,53.82008309443385,13.860161908609477,77.00744144433972,35.88668356171491,"{'n_estimators': 300, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_features': 0.5, 'max_depth': 20}",L1_Lasso,15,RepeatedKFold_3x10
HistGB_Poisson,0.9801197757074662,0.0027302145708262855,0.703867198703246,0.23705175689095156,56.5998881301087,18.89404232052136,48.9867805761684,13.68000462776638,75.90338865079501,37.93200813915182,"{'min_samples_leaf': 10, 'max_iter': 800, 'max_depth': 7, 'learning_rate': 0.01, 'l2_regularization': 1.0}",L1_Lasso,15,RepeatedKFold_3x10
HistGB_SquaredError,0.936978834136278,0.010857393894983646,0.7013298298167905,0.2600896025147264,68.77159833436431,26.95722207801241,53.11693424062192,15.132189847936047,76.45301117632788,37.93178774238673,"{'min_samples_leaf': 10, 'max_iter': 800, 'max_depth': 10, 'learning_rate': 0.01, 'l2_regularization': 10.0}",L1_Lasso,15,RepeatedKFold_3x10
