model,R2_train_mean,R2_train_std,Corr_R2_val_mean,Corr_R2_val_std,MAPE_val_mean,MAPE_val_std,SMAPE_val_mean,SMAPE_val_std,RMSE_val_mean,RMSE_val_std,cv_strategy,feature_selection,n_features
RandomForest,0.933488771390661,0.006638811117858457,0.6344943640531481,0.23846981035678183,112.57266822021145,87.627065964204,59.057919534928985,14.557333176868076,87.46145749877056,35.22266608237731,10-Fold,Mutual_Information,20
HistGB_Poisson,0.966045424629289,0.004144906896843242,0.7308841749239717,0.22625773105523206,74.47214439012973,39.44245036159273,56.69768231294402,12.352434273263544,87.41770926890172,33.43723691642055,10-Fold,Mutual_Information,20
RandomForest,0.9328707661843961,0.00672666872319764,0.6371115295339514,0.252138296513664,109.24217624912491,63.97071727117926,58.48831540364488,15.482535794623924,84.15811357040393,39.19895118365232,RepeatedKFold_5x10,Mutual_Information,20
HistGB_Poisson,0.9661863180239864,0.004340439181648169,0.6637929942092164,0.2339406693922622,71.85805369417461,33.26408863352062,55.583413234984455,11.63581022124826,86.32692944312186,33.647279911980206,RepeatedKFold_5x10,Mutual_Information,20
RandomForest,0.9329163993655117,0.007104670396824393,0.6446438334527199,0.23112959824913054,112.48608582494396,69.8268181377878,59.038295591318395,15.328512891520022,85.35739467809377,39.213187990870985,RepeatedKFold_3x10,Mutual_Information,20
HistGB_Poisson,0.9660053942859278,0.0038174342304335656,0.6878501379773075,0.2239269137511581,73.37792242483079,31.569818290864593,55.99519786618012,11.473254365093968,85.52764845640097,34.243474640821944,RepeatedKFold_3x10,Mutual_Information,20
RandomForest,0.9369265049904405,0.011077780526374408,0.5886561507427058,0.24200619659314293,90.92157774566238,30.230108821882975,58.51514150004861,5.826660759639306,87.70314999774865,12.788110009327214,5-Fold,Random_Forest,20
HistGB_Poisson,0.9638521736773168,0.005759365750194333,0.5637803248087154,0.2255778140338981,76.01756484219084,16.34282000566333,57.34068387986665,5.995583052630665,92.98729801735449,19.830969202371275,5-Fold,Random_Forest,20
RandomForest,0.9398255363789019,0.0056007811295791235,0.6677204384852565,0.305977158146204,88.68318907915392,49.931406522637666,56.15190619807667,12.577004798633121,81.54836578140642,32.54460862303444,10-Fold,Random_Forest,20
HistGB_Poisson,0.9774631414189194,0.0030721036214516346,0.7019576911922334,0.23453621186628862,67.41897951921798,33.11707987922927,53.867120204568224,9.97556540514264,78.47505159502154,39.430442475932786,10-Fold,Random_Forest,20
RandomForest,0.9397251811125493,0.005446873691399894,0.6546954390121607,0.27018344973592867,91.12788203333508,45.65485347619234,56.94871566837069,14.794977922017683,81.27903562459115,35.69081736766415,RepeatedKFold_5x10,Random_Forest,20
HistGB_Poisson,0.9779006632856566,0.0030737116055545677,0.6559728026822955,0.2551469427860563,69.81278436840802,30.7172469003321,53.69683556747768,13.533861704689729,80.65741203607938,36.17632209629267,RepeatedKFold_5x10,Random_Forest,20
RandomForest,0.9398009107369298,0.005382212812248073,0.6646728718659051,0.262648963009,92.34490847686645,48.40750875240302,57.01255395539294,14.458124348095122,81.04982183370599,36.10448329696945,RepeatedKFold_3x10,Random_Forest,20
HistGB_Poisson,0.977734681974389,0.003183331722363588,0.6593067783210791,0.25481744406345497,70.34034453821276,29.18124073802033,54.182204411014325,13.413403346131163,78.88507333935657,37.478425705687485,RepeatedKFold_3x10,Random_Forest,20
RandomForest,0.9218762183890433,0.008558340113620439,0.5931985293162277,0.22231270849236998,106.02047306707603,44.6492765906949,60.45127950245478,10.899789274735536,88.77206098204351,16.174454217019527,5-Fold,F_Regression,20
HistGB_Poisson,0.9031423720969156,0.01387548924635971,0.5400973758791947,0.18345979305121632,94.27332405775874,28.138219826937636,64.16947304875224,7.88385852730961,104.25484766939626,17.540452993854554,5-Fold,F_Regression,20
RandomForest,0.9253883315874857,0.004628794328609851,0.6988919882351448,0.22377142200839292,107.49561185259623,66.85243706291699,59.84866474735526,12.987083483726693,83.89690499877577,35.710906811956676,10-Fold,F_Regression,20
HistGB_Poisson,0.9180077511665982,0.0064386701232207084,0.6408261402751231,0.30160460611935486,88.88769524662048,47.42013518714788,63.54078736806355,10.307037541274019,94.15081400987197,23.166011081649174,10-Fold,F_Regression,20
RandomForest,0.9258053099539445,0.006420146722814171,0.6099726822540221,0.2620261614778555,112.65721477716974,62.89254829910733,60.487584818970426,16.479174410792748,87.87465932030949,38.87347378240747,RepeatedKFold_5x10,F_Regression,20
HistGB_Poisson,0.9190055184233397,0.0052228428454909265,0.5624934406147045,0.2808947400034301,95.36878533450194,48.66083588232425,65.06106530212395,12.414714505511755,97.68001260408217,28.841503136685635,RepeatedKFold_5x10,F_Regression,20
RandomForest,0.9259669329212257,0.006495176528572379,0.6245114811193259,0.24671820861064464,115.38877755139075,63.779077507272895,61.01086236643621,14.750699798945641,87.82708841195699,38.63757119784208,RepeatedKFold_3x10,F_Regression,20
HistGB_Poisson,0.9191504810446777,0.00545125949513135,0.5850023295330753,0.2863811848029687,95.40484339892572,44.50778854173946,64.692374333612,12.205550460707055,97.33370407881301,28.153405734273022,RepeatedKFold_3x10,F_Regression,20
