model,R2_train_mean,R2_train_std,Corr_R2_val_mean,Corr_R2_val_std,MAPE_val_mean,MAPE_val_std,SMAPE_val_mean,SMAPE_val_std,RMSE_val_mean,RMSE_val_std,cv_strategy,experiment,feature_selection,n_features,best_params,target_transform
RandomForest,0.9298299325751651,0.005543084577626324,0.6858656306028441,0.2385351873888037,111.95784235317713,83.8299779549242,59.28232592267665,15.41552510506589,83.51450369754173,36.04700649544404,10-Fold,Feature_Sweep,F_Regression,30.0,,
HistGB_Poisson,0.9486607844682717,0.003982466719276424,0.6429441368694329,0.21186561572855916,81.78853706616476,42.41826199340414,60.68775746286093,9.998629070904645,99.80072301440684,27.326424430213542,10-Fold,Feature_Sweep,F_Regression,30.0,,
RandomForest,0.91943649406969,0.0073930301304035075,0.7060775989239371,0.22218494149218138,89.52577259352488,39.84479145340497,53.82008309443385,13.86016190860948,77.00744144433972,35.88668356171491,Repeated_3x10,HP_Tuning,L1_Lasso,15.0,"{'n_estimators': 300, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_features': 0.5, 'max_depth': 20}",
HistGB_Poisson,0.9801197757074662,0.0027302145708262855,0.703867198703246,0.23705175689095156,56.5998881301087,18.89404232052136,48.9867805761684,13.68000462776638,75.90338865079501,37.93200813915182,Repeated_3x10,HP_Tuning,L1_Lasso,15.0,"{'min_samples_leaf': 10, 'max_iter': 800, 'max_depth': 7, 'learning_rate': 0.01, 'l2_regularization': 1.0}",
HistGB_SquaredError,0.936978834136278,0.010857393894983646,0.7013298298167905,0.2600896025147264,68.77159833436431,26.95722207801241,53.11693424062192,15.132189847936047,76.45301117632788,37.93178774238673,Repeated_3x10,HP_Tuning,L1_Lasso,15.0,"{'min_samples_leaf': 10, 'max_iter': 800, 'max_depth': 10, 'learning_rate': 0.01, 'l2_regularization': 10.0}",
ExtraTrees,0.9401145188991712,0.005680648947987159,0.7258900267751337,0.21870878397452162,79.66815308903911,34.000097633750194,51.15642961954952,12.76296495198443,74.5525804215118,36.84007005523757,Repeated_3x10,HP_Tuning,L1_Lasso,15.0,"{'n_estimators': 800, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_depth': 25}",
GradientBoosting_Huber,0.9693909488351776,0.007150093270388327,0.707229655714017,0.21758552354611616,69.84993866269899,32.14532491248599,51.533271700799055,12.351474680570664,75.22675963557143,28.788980040640475,Repeated_3x10,HP_Tuning,L1_Lasso,15.0,"{'subsample': 1.0, 'n_estimators': 500, 'min_samples_split': 10, 'min_samples_leaf': 3, 'max_depth': 7, 'learning_rate': 0.01, 'alpha': 0.8}",
PoissonRegressor,0.8022979029529796,0.017248586058519196,0.7150325445170227,0.2181925543986267,65.37911599753207,24.74709169697597,48.83771725146009,12.187353502145042,77.99831343234881,46.28311739503976,Repeated_3x10,HP_Tuning,L1_Lasso,15.0,{'alpha': 10.0},
Bagging_HistGB,0.8908366363176355,0.01717414274154858,0.6303256772431419,0.25059254144469667,67.63857944919079,24.397484901920375,50.607734216625566,13.280008076040637,81.73559300048233,34.85746026977883,Repeated_3x10,HP_Tuning,L1_Lasso,15.0,"{'max_features': 0.8, 'max_samples': 1.0, 'n_estimators': 5}",
RandomForest,0.9505488420122495,0.004007354304350059,0.7125591998018047,0.22868602382889572,89.19046086497707,37.405464807963064,54.75676804243543,13.661960791663763,75.85910855989013,34.847832001807824,Repeated_3x10,HP_Tuning,L1_Lasso,20.0,"{'n_estimators': 300, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_depth': 20}",
HistGB_Poisson,0.9824919693154163,0.0021966807807398143,0.679618890993644,0.26028197870242126,53.984021328384735,16.142694720554754,49.579841696635896,13.695570360126602,77.09102291679001,38.11698617284177,Repeated_3x10,HP_Tuning,L1_Lasso,20.0,"{'min_samples_leaf': 10, 'max_iter': 800, 'max_depth': 5, 'learning_rate': 0.01, 'l2_regularization': 0.0}",
HistGB_SquaredError,0.9691719303847405,0.01865986103712932,0.6865508398678397,0.2627040945917742,66.71318805827023,24.550251960390955,55.15830008490775,15.458567218346694,76.1030593407489,37.53887683151882,Repeated_3x10,HP_Tuning,L1_Lasso,20.0,"{'min_samples_leaf': 10, 'max_iter': 300, 'max_depth': 10, 'learning_rate': 0.05, 'l2_regularization': 10.0}",
ExtraTrees,0.9526720163836623,0.0048222132861041895,0.735954950309527,0.21665632927309444,74.31892449480755,29.408605213342888,50.36303413214557,13.106818917763217,73.88430468473932,37.03119561515264,Repeated_3x10,HP_Tuning,L1_Lasso,20.0,"{'n_estimators': 800, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_depth': 25}",
